,Provincia,Canton,2015,2016,2017,2018,2019,Poblacion,Media,Crimenes_1000_2015,Crimenes_1000_2019,Tasa
64,SAN JOSE,ASERRI,341,413,378,395,365,61911.0,6.111999483129008,5.51,5.9,7.078039927404722
65,SAN JOSE,CURRIDABAT,709,737,906,894,857,77691.0,10.562356000051485,9.13,11.03,20.810514786418377
66,SAN JOSE,DESAMPARADOS,1496,1899,1981,1772,1706,238312.0,7.4305951861425354,6.28,7.16,14.012738853503182
67,SAN JOSE,DOTA,42,45,25,28,34,7788.0,4.4684129429892145,5.39,4.37,-18.923933209647494
68,SAN JOSE,ESCAZU,694,850,771,685,573,68050.0,10.501102130786187,10.2,8.42,-17.450980392156858
69,SAN JOSE,GOICOECHEA,1064,1283,1334,1306,1347,134855.0,9.393793333580513,7.89,9.99,26.615969581749056
70,SAN JOSE,LEON CORTES,68,39,48,52,66,13339.0,4.093260364345153,5.1,4.95,-2.941176470588225
71,SAN JOSE,MONTES DE OCA,1162,1552,1627,1640,1653,61901.0,24.665191192387844,18.77,26.7,42.248268513585515
72,SAN JOSE,MORA,144,188,183,161,138,29555.0,5.508374217560481,4.87,4.67,-4.106776180698157
73,SAN JOSE,MORAVIA,496,552,647,679,548,61542.0,9.495953982645998,8.06,8.9,10.421836228287829
74,SAN JOSE,PEREZ ZELEDON,1491,1430,1593,1427,1211,142550.0,10.034373903893371,10.46,8.5,-18.738049713193128
75,SAN JOSE,PURISCAL,225,248,241,298,236,36987.0,6.748316976234893,6.08,6.38,4.9342105263157965
76,SAN JOSE,SAN JOSE,7795,9053,10068,10851,10723,339581.0,28.55872383908405,22.95,31.58,37.603485838779946
77,SAN JOSE,SANTA ANA,446,573,456,542,570,58159.0,8.89630151825169,7.67,9.8,27.77053455019558
78,SAN JOSE,TARRAZU,82,75,56,69,92,18102.0,4.132140095017125,4.53,5.08,12.141280353200878
79,SAN JOSE,TIBAS,749,831,866,912,659,82889.0,9.692480304986187,9.04,7.95,-12.057522123893794
80,SAN JOSE,TURRUBARES,33,48,28,42,53,6619.0,6.1640731228282215,4.99,8.01,60.52104208416833
81,SAN JOSE,VASQUEZ DE CORONADO,357,414,445,553,458,69500.0,6.40863309352518,5.14,6.59,28.21011673151752
