Provincia,Canton,Distrito,Poblacion
San Jose,Vasquez de Coronado,Dulce Nombre de Jesus,11418
San Jose,Vasquez de Coronado,Patalillo,23566
San Jose,Vasquez de Coronado,Cascajal,8039
San Jose,Acosta,,21519
San Jose,Acosta,San Ignacio,9240
San Jose,Acosta,Guaitil,2584
San Jose,Acosta,Palmichal,5049
San Jose,Acosta,Cangrejal,2044
San Jose,Acosta,Sabanillas,2602
San Jose,Tibas,,82889
San Jose,Tibas,San Juan,25974
San Jose,Tibas,Cinco Esquinas,8097
San Jose,Tibas,Anselmo Llorente,12521
San Jose,Tibas,Leon XIII,18976
San Jose,Tibas,Colima,17321
San Jose,Moravia,,61542
San Jose,Moravia,San Vicente,32146
San Jose,Moravia,San Jeronimo,7030
San Jose,Moravia,La Trinidad,22366
San Jose,Montes de Oca,,61901
San Jose,Montes de Oca,San Pedro,29187
San Jose,Montes de Oca,Sabanilla,13656
San Jose,Montes de Oca,Mercedes,5930
San Jose,Montes de Oca,San Rafael,13128
San Jose,Turrubares,,6619
San Jose,Turrubares,San Pablo,1519
San Jose,Turrubares,San Pedro,815
San Jose,Turrubares,San Juan de Mata,1439
San Jose,Turrubares,San Luis,673
San Jose,Turrubares,Carara,2173
San Jose,Dota,,7788
San Jose,Dota,Santa Maria,5067
San Jose,Dota,Jardin,681
San Jose,Dota,Copey,2040
San Jose,Curridabat,,77691
San Jose,Curridabat,Curridabat,32475
San Jose,Curridabat,Granadilla,18166
San Jose,Curridabat,Sanchez,6556
San Jose,Curridabat,Tirrases,20494
San Jose,Perez Zeledon,,142550
San Jose,Perez Zeledon,San Isidro de El General,47842
San Jose,Perez Zeledon,General,6814
San Jose,Perez Zeledon,Daniel Flores,35176
San Jose,Perez Zeledon,Rivas,7255
San Jose,Perez Zeledon,San Pedro,9568
San Jose,Perez Zeledon,Platanares,7552
San Jose,Perez Zeledon,Pejibaye,8230
San Jose,Perez Zeledon,Cajon,9090
San Jose,Perez Zeledon,Baru,2809
San Jose,Perez Zeledon,Rio Nuevo,3418
San Jose,Perez Zeledon,Paramo,4796
San Jose,Leon Cortes,,13339
San Jose,Leon Cortes,San Pablo,4467
San Jose,Leon Cortes,San Andres,1671
San Jose,Leon Cortes,Llano Bonito,2187
San Jose,Leon Cortes,San Isidro,1774
